rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,drama_or_comedy
m/who_framed_roger_rabbit,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,A-,2008-02-09,It has become deservedly recognized as a cinema classic.,Who Framed Roger Rabbit,"Down-on-his-luck private eye Eddie Valiant (Bob Hoskins) gets hired by cartoon producer R.K. Maroon (Alan Tilvern) to investigate an adultery scandal involving Jessica Rabbit (Kathleen Turner), the sultry wife of Maroon's biggest star, Roger Rabbit (Charles Fleischer). But when Marvin Acme (Stubby Kaye), Jessica's alleged paramour and the owner of Toontown, is found murdered, the villainous Judge Doom (Christopher Lloyd) vows to catch and destroy Roger.","Who Framed Roger Rabbit is an innovative and entertaining film that features a groundbreaking mix of live action and animation, with a touching and original story to boot.",PG,"Action & Adventure, Animation, Comedy, Kids & Family, Mystery & Suspense",Robert Zemeckis,"Peter S. Seaman, Jeffrey Price","Bob Hoskins, Christopher Lloyd, Joanna Cassidy, Charles Fleischer, Kathleen Turner, Roger Rabbit, Richard Le Parmentier, Stubby Kaye, Alan Tilvern, Joel Silver, Betsy Brantley, Amy Irving, Lou Hirsch, Morgan Deare, Mae Questel, Tony Anselmo, Joe Alaskey, June Foray, Richard Williams, Wayne Allwine, Russi Taylor, Tony Pope, Cherry Davis, Peter Westy, Frank Sinatra, Mel Blanc, Michael Edmonds, Chris Fleischer, Eric B. Sindon, Paul Springer, Richard Ridings, Edwin Craig, Lindsay Holiday, Danny Capri, Christopher Hollosy, John-Paul Sipla, Laura Frances, Joel Cutrara, Billy J. Mitchell, Ed Herlihy, James O'Connell, Eugene Guirterrez, April Winchell, Mary T. Radford, Fred Newman, Les Perkins, Pat Buttram, Del Baker, Jim Gallant, Andrew Bradford, Peter Diamond, Sadie Corre",1988-06-22,2015-12-13,104.0,Buena Vista Distribution Compa,Certified-Fresh,97.0,65.0,Upright,84.0,442722.0,16,63,2,Comedy
m/start_the_revolution_without_me,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B-,2016-10-05,"The film flopped at the box office, but years later scored as a cult hit on video when Wilder's popularity grew.",Start The Revolution Without Me,"Two mismatched sets of royal and peasant twins (Gene Wilder, Donald Sutherland) cause confusion in the French Revolution.",,PG,"Classics, Comedy, Special Interest",Bud Yorkin,"Fred Freeman, Lawrence J. Cohen, Larry Cohen","Gene Wilder, Donald Sutherland, Hugh Griffith, Billie Whitelaw, Jack MacGowran, Victor Spinetti, Orson Welles, Helen Fraser, Ewa Aulin, Harry Fowler, Rosalind Knight, Murray Melvin, Ken Parry, Jacques Maury, Maxwell Shaw, Graham Stark, Barry Lowe, George A. Cooper, Michael Rothwell, Denise Coffey",1970-02-14,2012-10-30,91.0,eRealBiz,Fresh,83.0,6.0,Upright,77.0,1237.0,0,5,1,Comedy
m/phantom_of_the_paradise,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,A-,2009-03-07,Does a slasher's job in cutting up the greedy music business moguls with its sharp satire.,Phantom of the Paradise,"After record producer Swan (Paul Williams) steals the music of songwriter Winslow Leach (William Finley) and gives it to one of his bands, Leach sneaks into Swan's offices. Catching Leach, Swan frames him for dealing drugs, which lands him in prison. After Leach breaks out and again attempts to sabotage Swan's empire, an accident crushes his face. Leach then dons a costume and becomes the Phantom, intent on ruining Swan while saving singer Phoenix (Jessica Harper) from a terrible fate.","Brian De Palma's subversive streak is on full display in Phantom of the Paradise, an ebullient rock opera that rhapsodizes creativity when it isn't seething with disdain for the music industry.",PG,"Classics, Comedy, Cult Movies, Horror, Musical & Performing Arts",Brian DePalma,Brian DePalma,"William Finley, Paul Williams, Jessica Harper, George Memmoli, Gerrit Graham, Jeffrey Comanor, Mary Margaret Amato, Harold Oblong, Jennifer Ashley, Gene Gross, Henry Calvert, Ken Carpenter, Sam Forney, Leslie Brewer, Celia Derr, Linda Larimer, Roseanne Romine, Gary Mallaber, Nydia Amagas, Robin Mattson, Sarah Ballantine, Kristi Bird, Cathy Buttner, Linda Cox, Patrice Rohmer, Jane Deford, Bibi Hansen, Cheryl Smith, Robin Jeep, Deen Summers, Judy Washington, Susan Weiser-Finley, Archie Hahn III, Janet Savarino, Jean Savarino, Jeffrey Comaner, Allison Keith, Bobby Birkenfeld, Sandy Catton, William Donovan, Scott Edmund Lane, Dennis Olivieri, Adam Wade, Nancy Moses, Diana Walden, Sherri Adeline, Carol O'Leary, Mary Bongfeld, Coleen Crudden, Bridgett Dunn, William Shephard, Rainbeaux Smith, Andy Epper, Jim Lovelett, Steven Richmond, James Gambino",1974-10-31,2015-11-25,92.0,Fox,Fresh,85.0,26.0,Upright,84.0,10078.0,4,22,4,Comedy
m/1019026-simon,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B,2019-03-25,Too bad the rest of the film wasn't as funny as its absurd premise.,Simon,"This bizarre comedy centers on Simon Mendelssohn (Alan Arkin), a preening professor of psychology who is mischievously duped into believing that he is an extraterrestrial. Dr. Carl Becker (Austin Pendleton) and the other idle think-tank members responsible for his condition also manage to convince the public that he's an alien, resulting in misadventures involving armed soldiers and eccentric commune dwellers when Simon escapes from the halls of academia and out into society.",,PG,"Comedy, Science Fiction & Fantasy",Marshall Brickman,"Thomas Baum, Marshall Brickman","Alan Arkin, Madeline Kahn, Austin Pendleton, Judy Graubart, William Finley, Jayant, Wallace Shawn, Max Wright, Fred Gwynne, Adolph Green, Keith Szarabajka, Ann Risley, Pierre Epstein, Roy Cooper, Rex Robbins, David Warrilow, David Gideon, Hetty Galen, David Susskind, Dick Cavett, Remak Ramsay, Hansford Rowe, Yusef Bulos, Jerry Mayer, Sol Frieder, William Griffis, Tom Kubiak, Al Cerullo, James Dukas, Ed Karvoski, Ricky Murray, Stephanie Segal, Lisa Maurer",1980-02-02,2016-06-28,97.0,Warner Bros.,Rotten,57.0,7.0,Upright,69.0,198.0,2,4,3,Comedy
m/goodbye_columbus,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,A,2005-06-28,This well-observed comedy knows the American Jewish bourgeois scene well.,"Goodbye, Columbus","Neil Klugman (Richard Benjamin), a young librarian in New Jersey, has eyes for Brenda Patimkin (Ali MacGraw), a beautiful Radcliffe student. Although they are both Jewish, Brenda's family is much wealthier and more conservative than Neil's. As there relationship matures, their differing cultural backgrounds cause Brenda's mother (Nan Martin) to have trepidations about the couple. As their disparate ideas about sex and birth control come to the fore, their feelings for each other are tested.",,PG,"Comedy, Romance",Larry Peerce,Arnold Schulman,"Richard Benjamin, Ali MacGraw, Jack Klugman, Nan Martin, Michael Meyers, Lori Shelle, Royce Wallace, Sylvie Strauss, Kay Cummings, Michael Nurie, Michael Nouri, Betty Greyson, Monroe Arnold, Elaine Swain, Richard Wexler, Rube Schaffer, Jaclyn Smith, William Derringer, Mari Gorman, Gail Ommerle, Bill Deeringer, Jan Peerce, Betty Grayson, Max Peerce, Anthony McGowan, Chris Schenkel, David Benedict, Ray Baumel, Delos V. Smith",1969-01-01,2016-01-15,105.0,Paramount,Fresh,91.0,11.0,Spilled,49.0,1113.0,0,10,1,Comedy
m/1019017-silver_streak,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B-,2008-04-22,It could have been a lot funnier if Wilder was a more gifted comic.,Silver Streak,"While on a cross-country train ride, overworked book editor George Caldwell (Gene Wilder) begins an unexpected romance with an enigmatic woman named Hilly Burns (Jill Clayburgh). His vacation is interrupted, however, when he witnesses a murder for which he is then accused. The true villains kidnap Hilly and eject Caldwell from the moving train. Desperate, Caldwell teams up with car thief Grover Muldoon (Richard Pryor), and together they must save Hilly while avoiding the police.",,PG,"Action & Adventure, Comedy, Romance",Arthur Hiller,Colin Higgins,"Gene Wilder, Jill Clayburgh, Richard Pryor, Patrick McGoohan, Ned Beatty, Clifton James, Ray Walston, Stefan Gierasch, Len Birman, Valerie Curtin, Richard Kiel, Lucille Benson, Scatman Crothers, Fred Willard, Delos V. Smith, Matilda Calnan, Margarita Garcia, Jack Mather, Nick Stewart [Nicodemus], Lloyd White, Ed McNamara, Ray Goth, John Day, Thomas Erhart, Bill Henderson, Gordon Hurst, Jack O'Leary, Raymond Guth, Lee McLaughlin, Henry Beckman, Steve Weston, Harvey Atkin",1976-12-03,2016-02-14,113.0,Twentieth Century Fox Home Entertainment,Fresh,81.0,21.0,Upright,71.0,9083.0,1,17,4,Comedy
m/frozen_2013,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B+,2013-12-06,Cool 3-D animated tale of magic that features the voices of Kristen Bell and Idina Menzel.,Frozen,"When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip.","Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.",PG,"Action & Adventure, Animation, Comedy, Kids & Family","Chris Buck, Jennifer Lee",Jennifer Lee,"Kristen Bell, Idina Menzel, Josh Gad, Santino Fontana, Alan Tudyk, Chris Williams (IX), Ciarán Hinds, Maia Wilson, Edie McClurg, Robert Pine, Maurice LaMarche, Livvy Stubenrauch, Eva Bella, Spencer Lacey Ganus, Jesse Corti, Stephen J. Anderson, Jeffrey Marcus, Tucker Gilmore, Ava Acres, Annaleigh Ashford, Jenica Bergere, Paul Briggs, Woody Buck, Lewis Cleale, Terri Douglas, Jean Gilpin, Nicholas Guest, Nick Jameson, John Lavelle, Pat Lentz, Katie Lowes, Dara McGarry, Adam Overett, Courtney Peldon, Raymond S. Persi, Lynwood Robinson, Jadon Sand, Pepper Sweeney, Steve Apostolina, Kirk Baily, David Boat, Tyree Brown, June Christopher, Wendy Cutler, Eddie Frierson, Carter Sand, Jackie Gonneau, Bridget Hoffman, Daniel A. Kaz, Annie Lopez, Mona Marshall, Scott Menville, Paul Pape, Jennifer Perry, Jean-Michel Richaud, Katie Silverman, Fred Tatasciore, Robert Lopez, Kristen Anderson-Lopez",2013-11-27,2015-11-15,102.0,Walt Disney Pictures,Certified-Fresh,90.0,245.0,Upright,85.0,306743.0,55,220,25,Comedy
m/napoleon_dynamite,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B-,2004-08-15,This film is more about scoring points over Jon Heder's unique performance than in telling a meaningful story.,Napoleon Dynamite,"In small-town Preston, Idaho, awkward teen Napoleon Dynamite (Jon Heder) has trouble fitting in. After his grandmother is injured in an accident, his life is made even worse when his strangely nostalgic uncle, Rico (Jon Gries), shows up to keep an eye on him. With no safe haven at home or at school, Napoleon befriends the new kid, Pedro (Efren Ramirez), a morose Hispanic boy who speaks little English. Together the two launch a campaign to run for class president.","A charming, quirky, and often funny comedy.",PG,Comedy,Jared Hess,"Jared Hess, Jerusha Hess","Jon Heder, Jon Gries, Aaron Ruell, Efren Ramirez, Diedrich Bader, Tina Majorino, Sandy Martin, Haylie Duff, Trevor Snarr, Shondrella Avery, Bracken Johnson, Carmen Brady, Ellen Dubin, J.C. Cunningham, James Smooth, Brian Petersen, Brett Taylor, Tom Lefler, Elizabeth Miklavcic, Scott Thomas, Loria Badelli, Emily Kennard, Jamen Gunnell, Nanette Young, Walter Platz, Nano De Silva, Arturo De Silva, Pat Donahue, Dale Critchlow, Tom Adams, Eldean Holliday, Arlando Larsen, Mary Heers, T.J. Adams, Jake Visser, Brady Stokes, Thedora Peeterborg, Becky Demke, Julia Y. Ruell",2004-06-11,2015-11-25,86.0,Fox Searchlight Pictures,Fresh,71.0,174.0,Upright,74.0,789850.0,41,124,50,Comedy
m/defending_your_life,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B,2015-03-16,"It could have just as easily been set in Dr. Freud's office, with his patient spilling his guts out on the couch.",Defending Your Life,"Daniel Miller (Albert Brooks) isn't having a good week. For starters, he died after he got hit by a bus. Then he discovers that in the afterlife he must defend his actions on Earth in order to ascend to a higher plane of existence. While awaiting judgment, he falls in love with Julia (Meryl Streep), whose near-perfect life on Earth seemingly makes her a shoe-in for ascension. However, Daniel's actions in his lifetime might not be enough for him to move on.",,PG,"Comedy, Science Fiction & Fantasy",Albert Brooks,,"Albert Brooks, Meryl Streep, Rip Torn, Lee Grant, Buck Henry, Michael Durrell, James Eckhouse, Gary Beach, Julie Cobb, Peter Schuck, Tim Winters, Sharlie Stuart, Beth Black, Clayton Norcross, James MacKrell, Wil Albert, Sage Allen, Mary Pat Gleason, Maxine Elliott, Marilyn Rockafellow, Roger Behr, Art Frankel, Ernie Brown, George D. Wallace, Lillian Lehman, Raffi Di Blasio, Kristopher Kent Hill, Eric Ehasz, Matthew Scharch, S. Scott Bullock, Carol Bivins, Ethan Embry, Gary Ballard, Mary Mukogawa, Toshio Shikami, Kagko Shikami, Samee Park, Tommy Inouye, Ken Thorley, Bob Braun, Jennifer Barlow, Joey Miyashima, Nurit Koppel, Susan Walters, Sidney Chankin, Greg Finley, Leonard O. Turner, Cliff Einstein, Rachel Bard, Newell Alexander, Hal Landon, Ida Lee, Noley Thornton, Glen Chin, James Ekim, Clarke Coleman, Ron Colby, David Purdham, James Paradise, Jerry Prell, Arell Blanton, Shana Ballard, Chris Macris, Joseph Darrell, James Manis, Alex Sheafe, Cathleen Chin, Lisa Sears, Mark Dunlap, Vernon Roguen, Dennis Germain, Shirley MacLaine",1991-03-22,2008-10-03,112.0,Warner Home Video,Fresh,97.0,32.0,Upright,83.0,9974.0,4,31,1,Comedy
m/the_big_hangover,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B+,2006-01-15,The cast is so endearing that they do wonders with the silly premise.,The Big Hangover,"In a French monastery during World War II, David Maldon (Van Johnson) almost drowned when he fell into a vat of brandy. Ever since, he has suffered from a psychosomatic response to alcohol that causes him to act inebriated if he so much as looks at a bottle of booze. Mary Belney (Elizabeth Taylor), the psychoanalyst daughter of the senior partner of the big-ticket law firm David has just joined, attempts to cure his condition while he battles a city prosecutor (Leon Ames) on an eviction case.",,PG,"Comedy, Romance",Norman Krasna,Norman Krasna,"Van Johnson, Elizabeth Taylor, Percy Waram, Fay Holden, Leon Ames, Edgar Buchanan, Selena Royle, Gene Lockhart, Rosemary DeCamp, Philip Ahn, Gordon Richards, Matt Moore, Pierre Watkin, Russell Hicks",,2012-04-16,82.0,WARNER BROTHERS PICTURES,Fresh,67.0,6.0,Spilled,31.0,85.0,4,4,2,Comedy
